Title;Source;Year
A practical formal approach for requirements validation and verification of dependable systems;Scopus;2011
A project based master's programme for sof/soc based sensor systems;Engineering village;2005
A propositional logic-based method for verification of feature models;Web of science;2004
A refined goal model for semantic web services;Ieee;2007
A reflective framework for fine-grained adaptation of aspect-oriented compositions;Scopus;2008
A requirements analysis framework for open systems requirements engineering;Acmdl;2007
A requirements engineering process model for distributed software development lessons learned;Scopus;2008
A requirements monitoring framework for enterprise systems;Web of science;2006
A requirements monitoring infrastructure for very-large-scale software systems;Scopus;2014
A requirements-based approach for the design of adaptive systems;Ieee;2012
A requirements-led approach for specifying qos-aware service choreographies: an experience report;Scopus;2014
A roadmap for comprehensive requirements modeling;Ieee;2010
A runtime evaluation methodology and framework for autonomic systems;Scopus;2011
A self-tuning scientific framework using model-driven engineering for heterogeneous execution platforms;Scopus;2014
A semantics-based method for requirements analysis and system design;Ieee;1979
A software engineering perspective on algorithmics;Acmdl;2001
A software reuse measure: monitoring an enterprise-level model driven development process;Scopus;1999
A solution to sensor network coverage problem;Ieee;2005
A sound assertion semantics for the dependable systems evolution verifying compiler;Ieee;2007
A study of the impact of global software development in packaged software release planning;Web of science;2012
A systematic approach to generate and clarify consistent requirements;Scopus;2013
A taxonomy of uncertainty for dynamically adaptive systems;Ieee;2012
A theory of information quality and its implementation in systems engineering;Ieee;2013
A time series for monitoring vegetation activity and phenology at 10-daily time steps covering large parts of south america;Scopus;2011
A tool for managing evolving security requirements;Web of science, Scopus;2012, 2011
A typology to support his design for collaborative healthcare delivery;Acmdl;2010
A ubiquitous system for smart reasoning for well-being at home and at work;Ieee;2012
A unified requirements model, integrating features, use cases, requirements, requirements analysis and hazard analysis;Ieee;2007
A versatile monitoring system for distributed real-time systems;Sciencedirect;1992
A virtual hardware handler for rtr systems;Scopus;1999
Abcd: eliminating array bounds checks on demand;Scopus;2000
Abstract machine and structural availability;Scopus;2006
Achieving functional safety of audi dynamic steering using a structured development process;Engineering village;2006
Achieving runtime adaptability through automated model evolution and variant selection;Scopus;2014
Acquiring and incorporating state-dependent timing requirements;Ieee;2003
Active and adaptive services resource provisioning with personalized customization;Ieee;2013
Activity-driven design approach to the novel control room environments;Engineering village;2009
Adaptive agent model: an agent interaction and computation model;Scopus;2007
Adaptive goals for self-adaptive service compositions;Ieee;2010
Adaptive protection scheme with fault detection, classification and isolation features for off-grid distributed generation system;Ieee;2012
Adaptive service composition based on runtime requirements monitoring;Scopus;2011
Adaptive socio-technical systems: a requirements-based approach;Web of science;2013
Adaptive software needs continuous verification;Scopus;2010
Addressing legal requirements in requirements engineering;Ieee;2007
Addressing requirements engineering challenges in the context of emergent systems;Ieee;2011
Advanced automation technology reduces refinery energy costs;Engineering village;2005
Advanced technology explosives detection device deployment in the faa's security equipment integrated program;Ieee;1999
Advancements in aircraft model force and attitude instrumentation by integrating statistical methods;Engineering village;2007
Advent: a system architecture for advanced monitoring of elders with chronic conditions;Acmdl;2014
Agent based seamless context-aware service for moving learners in ubiquitous computing environment;Scopus;2008
Agent-based tactics for goal-oriented requirements elaboration;Ieee;2002
Agent-oriented software engineering vii: 7th international workshop, aose 2006 revised and invited papers;Scopus;2007
Alerts in mobile healthcare applications: requirements and pilot study;Ieee;2004
Ambient assisted living system for in-home monitoring of healthy independent elders;Sciencedirect;2012
An adaptive n-variant software architecture for multi-core platforms: models and performance analysis;Scopus;2011
An agent based synchronization scheme for multimedia applications;Scopus;2006
An agent-based system to support assurance of security requirements;Ieee;2010
An agent-supported simulation framework for metric-aware dynamic fidelity modeling;Acmdl;2007
An aggregated energy security performance indicator;Sciencedirect;2013
An android based home automation system;Scopus;2013
An approach to automated agent deployment in service-based systems;Scopus;2007
An approach to engineer and enforce context constraints in an rbac environment;Acmdl;2003
An architecture for re-engineering of client/server applications;Scopus;2001
An automated approach to monitoring and diagnosing requirements;Scopus;2007
An efficient heuristic for selecting active nodes in wireless sensor networks;Sciencedirect;2006
An empirical study of industrial requirements engineering process assessment and improvement;Acmdl;2005
An event driven model for context-aware service;Scopus;2011
An event-based methodology to generate class diagrams and its empirical evaluation;Scopus;2010
An experience in using a tool for evaluating a large set of natural language requirements;Acmdl;2010
An industrial network flow information integration model for supply chain management and intelligent transportation;Web of science;2007
An information infrastructure for coordinating earth science observations;Scopus;2006
An integrated and dynamic multi-object trade-off mechanism model based on process management in software project;Engineering village;2006
An integrated approach to benefits realisation of railway condition monitoring innovations;Ieee;2011
An integrated approach to engineer and enforce context constraints in rbac environments;Acmdl;2004
An integrated approach to supporting interaction evolution in home care systems;Acmdl;2008
An integrated approach to the development of an intelligent prognostic health management system;Engineering village;2006
An interface language of value-added service creation based on capability-injection;Ieee;2009
An ontology-based data acquisition infrastructure using ontologies to create domain-independent software systems;Scopus;2012
An operational model for structuring the requirements generation process;Web of science;2005
"Analysing ""people"" problems in requirements engineering";Acmdl;2010
Analysing and enhancing business processes and it-systems for mobile workforce automation: a framework approach;Acmdl;2007
Analysing monitoring and switching problems for adaptive systems;Sciencedirect;2012
Analysis of smart mobile applications for healthcare under dynamic context changes;Ieee;2015
Analysis of solar organic rankine cycle for a building in hot and humid climate;Engineering village;2011
Analyzing crosscutting in the problem frames approach;Acmdl;2006
Analyzing goal models: different approaches and how to choose among them;Acmdl;2011
Anis: a negotiated integration of services in distributed environments;Scopus;2006
Applied software engineering education;Engineering village;2005
Applying industrial-strength testing techniques to critical care medical equipment;Acmdl;2012
Applying requirement monitoring for autonomic computing in a combat management system;Ieee;2007
Applying requirements monitoring for autonomic computing in a combat management system;Web of science;2007
Applying sofl to construct requirements specification for examination monitoring system;Ieee;2012
Applying wireless sensor networks to renaturation monitoring: from requirements to deployment;Ieee;2014
Approaches for mastering change;Scopus;2012
Architecting adaptable software using cots: an nfr approach;Scopus;2003
Architectural adaptation addressing the criteria of multiple quality attributes in mission-critical systems;Scopus;2007
Architecture design of disaster risk assessment and warning system based on uml;Scopus;2010
Archiving system states by persistent objects;Ieee;1996
Are your lights off? using problem frames to diagnose system failures;Ieee;2009
Are your sites down? requirements-driven self-tuning for the survivability of web systems;Ieee;2011
Artificial esophagus with peristaltic movement;Engineering village;2005
Ase2009 - 24th ieee/acm international conference on automated software engineering;Scopus;2009
Aspect-oriented modeling approach to define routing in enterprise service bus architectures;Acmdl;2008
Aspect-oriented requirements engineering for advanced separation of concerns: a review;Engineering village;2011
Aspect-oriented requirements engineering: a roadmap;Acmdl;2008
Aspects, dependencies, and interactions;Acmdl;2006
Assessing systems adaptability to a product family;Scopus;2003
Assessing the applicability of use case maps for business process and workflow description;Ieee;2008
Assessing vehicle health management requirements for unmanned air systems;Engineering village;2012
Assumption-based risk identification method (arm) in dynamic service provisioning;Ieee;2013
Ate applied into fault modeling and fault diagnosis of ac servo motor pwm driver system;Scopus;2005
Automated consistency checking of requirements specifications;Acmdl;1996
Automated instrumentation of contracts and scenarios for requirements validation in .net;Acmdl;2008
Automated mapping from goal models to self-adaptive systems;Ieee;2008
Automated requirements analysis for a molecular watchdog timer;Acmdl;2014
Automated software project planning and control;Sciencedirect;1988
Automated testing of web services system based on owl-s;Scopus;2012
Automatic derivation of utility functions for monitoring software requirements;Web of science;2011
Automatic system modeling approach based on semantic association;Ieee;2008
Automating analysis of qualitative preferences in goal-oriented requirements engineering;Acmdl;2011
Autonomous real time requirements tracing;Engineering village;2014
Autonomy requirements engineering;Ieee;2013
Autonomy requirements engineering: a case study on the bepicolombo mission;Acmdl;2013
Auvim: a middleware for audio/video sensor networks;Scopus;2006
Awareness requirements for adaptive systems;Scopus;2011
Bee-sensor: a step towards meta-routing strategies in hybrid ad hoc networks;Acmdl;2010
Bise – call for papersissue 3/2010high-impact requirements engineering;Springer;2009
Bottom billion architecture: an extensible software architecture for ict access in the rural developing world;Acmdl;2010
Bpel fragments for modularized reuse in modeling bpel processes;Scopus;2009
Breaking the big-bang practice of traceability: pushing timely trace recommendations to project stakeholders;Ieee;2012
Bridging the gap between structured requirements and object-oriented analysis and design;Ieee;1996
Building contingencies into specifications;Ieee;2008
Building problem domain ontology from security requirements in regulatory documents;Acmdl;2006
Building secure products and solutions;Ieee;2007
Building up a virtual community for home-based chronic diseases healthcare;Ieee;2014
Business process configuration with nfrs and context-awareness;Scopus;2013
Business process monitoring and alignment: an approach based on the user requirements notation and business intelligence tools;Scopus;2007
Business processes and regulations compliance management technology;Ieee;2014
Business processes management based on stratified grid;Engineering village;2005
Can requirements be creative? experiences with an enhanced air space management system;Acmdl;2007
Categorizing requirements for a contract-based system integration project;Ieee;2012
Cems monitoring system of epa based on web;Scopus;2010
Challenges in rendering and maintaining trustworthiness for long-living software systems;Scopus;2015
Changing class behaviors at run-time in mrp systems;Scopus;2000
Chapter 13 - the design implications of users’ values for software and system architecture;Sciencedirect;2014
Chapter 9 - data requirements analysis;Sciencedirect;2011
Characterizing maintainability concerns in autonomic element design;Ieee;2008
Characterizing uncertainty when evaluating risk management metrics: risk assessment modeling of listeria monocytogenes contamination in ready-to-eat deli meats;Sciencedirect;2013
Classical image processing vs. computer vision techniques in automated computer-assisted detection of follicles in ultrasound images of ovary;Ieee;1997
Clay minerals, carbon storage, and effects of observational scale on computational models;Sciencedirect;2011
Clinical requirements engineering;Ieee;2005
Cloud adoption: a goal-oriented requirements engineering approach;Acmdl;2011
Cloud adoption: prioritizing obstacles and obstacles resolution tactics using ahp;Acmdl;2014
Cluster management in the known area of deployment for wireless sensor network;Ieee;2008
Cognitive approach to control of socio-economic systems security;Ieee;2004
Cognitive approach to control of socio-economie systems security;Engineering village;2004
Collaborative social modeling for designing a patient wellness tracking system in a nurse-managed health care center;Acmdl;2009
Combining model processing and middleware configuration for building distributed high-integrity systems;Scopus;2007
Commercial-off-the-shelf workflow package as a platform for mission planning data integration;Engineering village;2006
Communications service requirements for distributed monitoring applications;Engineering village;1993
Comparative evaluation of dependability characteristics for peer-to-peer architectural styles by simulation;Scopus;2006
Comparative semantics of feature diagrams: ffd vs. vdfd;Ieee;2006
Comparing requirements analysis methods for developing reusable component libraries;Sciencedirect;2006
Compile-time stack requirements analysis with gcc motivation, development, and experiments results;Scopus;2005
Compliance management with measurement frameworks;Ieee;2011
Compliance of semantic constraints - a requirements analysis for process management systems;Scopus;2008
Component-based system development;Scopus;2005
Components of a multi-perspective modeling method for designing and managing it security systems;Scopus;2015
Comprehensive integrated checklists for requirements engineering and software project management;Ieee;2013
Computing' requirements in open source software projects;Scopus;2013
Concept analysis for product line requirements;Acmdl;2009
Conceptual application domain modelling;Acmdl;2009
Conservation gis: current applications and emerging needs;Engineering village;2006
Constructing adaptive software in distributed systems;Scopus;2001
Construction and implementation of surveillance system for software engineering oriented training;Scopus;2012
Context-awareness for self-adaptive applications in ubiquitous computing environments;Scopus;2013
Context-sensitive traceability controlling;Engineering village;2013
Continuous adaptive requirements engineering: an architecture for self-adaptive service-based applications;Ieee;2010
Correlating features and code using a compact two-sided trace analysis approach;Scopus;2005
Cots tenders and integration requirements;Scopus;2004
Counter play-out: executing unrealizable scenario-based specifications;Acmdl;2013
Critical infrastructures security modeling, enforcement and runtime checking;Scopus;2009
Cssl: a logic for specifying conditional scenarios;Acmdl;2011
Cyclone: a broadcast-free dynamic instruction scheduler with selective replay;Scopus;2003
Data requirements analysis based on china's agricultural monitoring and early-warning;Scopus;2013
Dealing with multiple failures in zanshin: a control-theoretic approach;Scopus;2014
Dealing with softgoals at runtime: a fuzzy logic approach;Ieee;2011
Decision support tools for market participants;Engineering village;2003
Deeps: deterministic energy-efficient protocol for sensor networks;Engineering village;2006
Deriving policies from grid security requirements model;Web of science;2008
Description logic based bdi implementation for goal-directed semantic agents;Acmdl;2011
Design and application of task administration protocols for collaborative production and service systems;Sciencedirect;2012
Design and implementation of an identification system in construction site safety for proactive accident prevention;Sciencedirect;2012
Design and implementation of web-based international trade risk management platform;Ieee;2014
Design boundary objects - development guidelines for financial data warehouse projects;Scopus;2010
Design of a novel intelligent data management tool for health and usage monitoring systems - software requirements;Engineering village;2008
Design of data management system for agricultural land quality dynamic monitoring;Ieee;2009
Design of network action surveillance system based on internet real-name system;Scopus;2010
Design of sampling networks for water table monitoring;Engineering village;1990
Design patterns: between programming and software design;Acmdl;2008
Designing a citation-sensitive research tool: an initial study of browsing-specific information needs;Acmdl;2009
Designing an adaptive computer-aided ambulance dispatch system with zanshin: an experience report;Scopus;2013
Designing quality architecture: incorporating iso standards into the unified process;Scopus;2004
Designs can talk: a case of feedback for design evolution in assistive technology;Web of science, Scopus;2008, 2009
Detecting and resolving semantic pathologies in uml sequence diagrams;Acmdl;2005
Developing a multiagent conference management system using the o-mase process framework;Scopus;2008
Developing a sustainability non-functional requirements framework;Acmdl;2014
Developing a workflow design framework based on dataflow analysis;Ieee;2008
Developing business process monitoring strategy in a supply chain using information requirements analysis;Ieee;2010
Developing self managing software systems using agile modeling;Acmdl;2013
Development and evaluation of a vehicle-infrastructure integration simulation architecture;Scopus;2007
Development of a test bed for monitoring & control software of a ground station & its analysis by application of standard software metrics;Ieee;2013
Development of agent-driven systems: from i* architectural models to intentional agents' code;Scopus;2011
Development of an intelligent control system for a municipal water distribution network;Ieee;1999
Development of clinical nutrition staffing model;Sciencedirect;1998
Development of context-aware systems to support human-human communication and collaboration;Ieee;2008
Development of modern electronic control systems for power distribution;Engineering village;2002
Development of the adaptable, gis-based, multi-threat detection system;Ieee;2011
Discovering affect-laden requirements to achieve system acceptance;Ieee;2014
Discovering early aspects;Ieee;2006
Disease surveillance and patient care in remote regions: an exploratory study of collaboration among health-care professionals in amazonia;Scopus;2014
Do you smell rotten eggs?' evaluating interactions with mobile agents in crisis response situations;Scopus;2009
Do you smell rotten eggs?': evaluating interactions with mobile agents in crisis response situations;Acmdl;2009
Documentation of requirements for computer systems;Ieee;1993
Domain model evolutionary approach based on semantic association;Ieee;2008
Dreamer: a design rationale environment for argumentation, modeling and engineering requirements;Acmdl;2010
Dynamic maintenance of software systems at runtime;Ieee;2008
Dynamic precision management for loop computations on reconfigurable architectures;Scopus;1999
Dynamic requirements specification for adaptable and open service systems;Ieee;2007
Dynamic requirements specification for adaptable and open service-oriented systems;Web of science;2007
Dynamic software assembly for automatic deployment-oriented adaptation;Scopus;2005
Dynamic weaving of security aspects in service composition;Scopus;2006
Dynamically adaptive systems through automated model evolution using service compositions;Scopus;2010
Early accessibility evaluation in web application development;Scopus;2013
Early aspects at icse 2007: workshop on aspect-oriented requirements engineering and architecture design;Acmdl;2007
Early verification and validation of mission critical systems;Web of science, Sciencedirect;2007, 2005
Editorial: “complexity of systems evolution: requirements engineering perspective”;Acmdl;2015
Efficient consistency checking of scenario-based product-line specifications;Ieee;2012
Efficient large-scale model checking;Scopus;2009
Efficient response time predictions by exploiting application and resource state similarities;Engineering village;2005
Efficient trace monitoring;Scopus;2006
Ejvm: an economic java run-time environment for embedded devices;Scopus;2001
Elaborating security requirements by construction of intentional anti-models;Acmdl;2004
Elevating interaction requirements for web service composition;Scopus;2006
Elicitation of security requirements for e-health system by applying model oriented security requirements engineering (mosre) framework;Acmdl;2012
Eliciting confidentiality requirements in practice;Acmdl;2005
Eliciting contextual requirements at design time: a case study;Ieee;2014
Eliciting service composition in a goal driven manner;Acmdl;2004
Embedding policy rules for software-based systems in a requirements context;Ieee;2005
Embracing requirements variety for e-governments based on multiple product-lines frameworks;Ieee;2003
Emccd-based detector for time-resolved x-ray diffraction and scattering studies of biological specimens;Ieee;2006
Emergency response workflow resource requirements modeling and analysis;Scopus;2009
Empirical evaluation of tropos4as modelling;Scopus;2011
End-to-end formal specification, validation, and verification process: a case study of space flight software;Ieee;2013
Energy aware beaconless geographical routing in three dimensional wireless sensor networks;Ieee;2009
Enforcing safety requirements for industrial automation systems at runtime position paper;Scopus;2011
Engineering a sound assertion semantics for the verifying compiler;Ieee;2010
Engineering adaptation with zanshin: an experience report;Acmdl;2013
Engineering adaptive requirements;Ieee;2009
Engineering of quality requirements as perceived by near-shore development centers' architects in eastern europe: the hole in the whole;Acmdl;2014
Engineering safety-related requirements for software-intensive systems;Acmdl;2006
Engineering secure software and systems - 4th international symposium, essos 2012, proceedings;Scopus;2012
Engineering service negotiation and management functionality for the advanced intelligent network: an application of object-oriented technology;Ieee;1991
Engineering topology aware adaptive security: preventing requirements violations at runtime;Ieee;2014
Enhancing residential gateways: osgi service composition;Scopus;2007
Enterprise information system security: a life-cycle approach;Scopus;2008
Enterprise monitoring ontology;Web of science;2011
Enterprise systems requirement analysis for process-centric continuous monitoring;Scopus;2010
Environmental regulation of hydraulic fracturing in queensland;Engineering village;2013
Establishing trustworthiness in services of the critical infrastructure through certification and accreditation;Acmdl;2005
Euro-par 2006 workshops: parallel processing coregrid 2006, unicore summit 2006, petascale computational biology and bioinformatics revised selected papers;Scopus;2007
Europlop 2011 - 16th european conference on pattern languages of programs, invited post-proceedings;Scopus;2012
Evaluating filtering strategies for decentralized handover prediction in the wireless internet;Engineering village;2006
Evaluating meta-programming mechanisms for orb middleware;Scopus;2001
Evaluating organizational configurations;Ieee;2009
Evaluating user-centric adaptation with goal models;Acmdl;2007
Evaluation of esophageal motility and reflux in children treated for congenital diaphragmatic hernia with the use of combined multichannel intraluminal impedance and ph monitoring;Sciencedirect;2011
Evaluation of pressure transmission and intra-aneurysmal contents after endovascular repair using the trivascular enovus expanded polytetrafluoroethylene stent graft in a canine model of abdominal aortic aneurysm;Sciencedirect;2007
Evolution vs. innovation in requirements for services;Ieee;2011
Evolutionary method engineering: towards a method for the analysis and conception of management information systems;Scopus;2006
Evolving requirements in patient-centered software;Acmdl;2011
Evolving requirements in socio-technical systems: concepts and practice;Acmdl;2011
Exemplars for better requirements - tales from the trenches;Ieee;2005
Experience in using business scenarios to assess cots components in integrated solutions;Acmdl;2015
Experience with a tracing model for a positive train control system of systems;Engineering village;2012
Experiences with program static analysis;Ieee;1998
Expressing aspectual interactions in requirements engineering: experiences in the slot machine domain;Acmdl;2010
Extended web services framework to meet non-functional requirements;Scopus;2006
Extending the four-variable model for cyber-physical systems;Ieee;2012
Extensibility via a meta-level architecture;Scopus;2001
Fabric tears as a new cause of type iii endoleak with ancure endograft;Sciencedirect;2003
Fast formal analysis of requirements via “topoi diagrams”;Acmdl;2001
Fault monitoring and detection of distributed services over local and wide area networks;Ieee;2006
Fault-models in wireless communication: towards survivable ad hoc networks;Engineering village;2007
Feasibility of simultaneous pre- and postfilter transcranial doppler monitoring during carotid artery stenting;Sciencedirect;2009
Feature interactions in software and communication systems x;Scopus;2009
Feedback-aware requirements documents for smart devices;Scopus;2014
Field analysis: getting useful and low-cost interprocedural information;Scopus;2000
Film strain measurement through hyperspectral polarimetry;Engineering village;2007
Finding solutions in goal models: an interactive backward reasoning approach;Acmdl;2010
First international workshop on usability and accessibility focused requirements engineering (usare 2012): summary report;Acmdl;2013
First step towards a domain specific language for self-adaptive systems;Ieee;2010
Flexibility requirements in real-world process scenarios and prototypical realization in the care domain;Scopus;2014
Fluent-based animation: exploiting the relation between goals and scenarios for requirements validation;Ieee;2004
Foreword: 2nd workshop requirements@run.time;Ieee;2011
Foreword: first workshop requirements@run.time;Scopus;2010
Formal tools for managing inconsistency and change in re;Acmdl;2000
Formalizing space shuttle software requirements: four case studies;Acmdl;1998
Founding enterprise systems on enterprise performance analysis;Engineering village;2004
Fpga implementation of dynamic run-time behavior reconfiguration in robots;Scopus;2006
Frameworks for model-driven software architecture;Scopus;2005
From a goal-oriented methodology to a bdi agent language: the case of tropos and alan;Web of science;2007
From adaptive systems design to autonomous agent design;Scopus;2010
From aspect-oriented requirements models to aspect-oriented business process design models: an iterative and concern-driven approach for software engineering;Acmdl;2011
From awareness requirements to adaptive systems: a control-theoretic approach;Ieee;2011
From collective knowledge to intelligence: pre-requirements analysis of large and complex systems;Acmdl;2010
From crosscutting concerns to web systems models;Acmdl;2007
From early to late formal requirements: a process-control case study;Acmdl;1998
From gmods models to object-oriented specifications in event-b;Ieee;2013
From requirements to embedded software - formalising the key steps;Ieee;2009
From requirements to release criteria: specifying, monitoring, and demonstrating product quality;Ieee;2003
From requirements to statecharts via design refinement;Acmdl;2014
From stakeholder goals to product features: towards a role-based variability framework with decision boundary;Acmdl;2006
From use cases and their relationships to code;Ieee;2012
Fusing hard and soft computing for fault management in telecommunications systems;Scopus;2002
Future space system support to u.s. military operations in an ice-free arctic: broadband satellite communications considerations;Engineering village;2009
Fuzzy goals for requirements-driven adaptation;Ieee;2010
General enterprise framework (gef);Ieee;2012
Generic architecture and mechanisms for protocol reconfiguration;Engineering village;2006
Getting more from requirements traceability: requirements testing progress;Ieee;2013
Gmpls operations and management: today's challenges and solutions for tomorrow;Scopus;2005
Goal and scenario driven product line development;Ieee;2004
Goal models as run-time entities in context-aware systems;Scopus;2012
Goal reasoning for quality elicitation in the isoa approach;Ieee;2009
Goal support towards business processes modelling;Ieee;2008
Goal-based modeling of dynamically adaptive system requirements;Ieee;2008
Goal-centric traceability for managing non-functional requirements;Acmdl;2005
Goal-driven adaptation of service-based systems from runtime monitoring data;Ieee;2011
Goal-oriented development of bdi agents: the practionist approach;Ieee;2006
Goal-oriented modeling of requirements engineering for dynamically adaptive system;Ieee;2006
Goal-oriented requirements animation;Ieee;2004
Gold infrastructure for virtual organisations;Web of science;2006
Gold infrastructure for virtual organizations;Web of science;2008
Good route hmi for actors involved in dangerous goods transportation;Scopus;2007
Gps ground antenna & monitor station upgrades: software requirements analysis;Engineering village;1995
Gps ground antenna & monitor station upgrades: system analysis & design;Engineering village;1995
Gps ground antenna and monitor station upgrades: software requirements analysis;Ieee;1995
Gps ground antenna and monitor station upgrades: system analysis and design;Ieee;1995
Gpsdtn: predictive velocity-enabled delay-tolerant networks for arctic research and sustainability;Ieee;2007
Groundwater management during excavations of s. pasquale station in naples;Engineering village;2013
Guidance on design of internet-based process control systems;Scopus;2005
Handling the knowledge acquired during the requirements engineering process: a case study;Acmdl;2002
Harnessing evolutionary computation to enable dynamically adaptive systems to manage uncertainty;Ieee;2013
Hazard-based selection of test cases;Acmdl;2011
How to design and deliver process context sensitive information: concept and prototype;Web of science;2012
I*-prefer: optimizing requirements elicitation process based on actor preferences;Acmdl;2009
Identification of requirements for focused crawlers in technology intelligence;Ieee;2014
Identifying contingency requirements using obstacle analysis;Ieee;2005
Ieee standard glossary of software engineering terminology;Ieee;1990
Ifip tc 5/ wg 5.5 6th ifip international conference on information technology for balanced automation systems in manufacturing and services, basys 2004;Engineering village;2005
Impediments to regulatory compliance of requirements in contractual systems engineering projects: a case study;Acmdl;2015
Implementation decision making for internetware driven by quality requirements;Web of science;2014
Implicit phasing for r6rs libraries;Scopus;2007
Imprinting community college computer science education with software engineering principles: work in progress;Acmdl;2010
Improved planar amperometric nitric oxide sensor based on platinized platinum anode. 1. experimental results and theory when applied for monitoring no release from diazeniumdiolate-doped polymeric films;Engineering village;2004
Improving business value assurance in large-scale it projects - a quantitative method based on founded requirements assessment;Scopus;2014
Improving business value assurance in large-scale it projects—a quantitative method based on founded requirements assessment;Acmdl;2015
Improving exception handling by discovering change dependencies in adaptive process management systems;Scopus;2006
Improving network infrastructure security using geospatial technology;Scopus;2007
Improving situation awareness in anaesthesiology;Acmdl;2005
In a ubiquitous world requirements are ubiquitous too;Ieee;2011
Incremental formal verification for model refining;Acmdl;2012
Information distribution and team situational awareness: an experimental study;Engineering village;2006
Information processing techniques: a major asset for the aging and life management of key npp components;Engineering village;2005
Informed evolution;Scopus;2007
Instantaneous angular speed (ias) processing and related angular applications;Scopus;2014
Instruction in problem structuring and analysis through problem frames;Ieee;2006
Integrated perimeter security system;Ieee;2007
Integrated, scalable safety-instrumented system;Engineering village;2005
Integrating creativity workshops into structured requirements processes;Acmdl;2004
Integrating mobile devices into the car ecosystem: tablets and smartphones as vital part of the car;Acmdl;2011
Integrating policy-based management and sla performance monitoring;Engineering village;2001
Integrative approach to requirements modeling;Scopus;1999
Intellbatt: the smart battery;Ieee;2013
